"The Flash",3,2023-06-13
"365 Dias: Hoje",2,2022-04-27
"À Espera de um Milagre",4,1999-12-10
"Wonka",3,2023-12-06
"Até o Último Homem",4,2016-10-07
"Venom",3,2018-09-28
"Que a Força Materna Esteja com Você",2,2024-05-09
"Até que as Cores Acabem",4,2024-06-26
"Caminhos Cruzados",3,2024-03-22
"Abigail",3,2024-04-16
"Coringa",4,2019-10-01
"Invocação do Mal",3,2013-07-18
"Elementos",3,2023-06-14
"The Last Kumite",3,2024-05-09
"禁じられた遊び",2,2023-09-08
"Jurassic World: Domínio",3,2022-06-01
"Отражение тьмы",2,2024-04-11
"Uma Ideia de Você",3,2024-05-02
"Wish: O Poder dos Desejos",3,2023-11-13
"Os Mercenários 4",3,2023-09-15
"Titanic",3,1997-11-18
"HAIKYU!! The Dumpster Battle",3,2024-02-16
"小虎墩大英雄",3,2022-02-01
"El candidato honesto",2,2024-08-08
"Ghostbusters: Apocalipse de Gelo",3,2024-03-20
"O Último Suspiro",3,2024-06-28
"Missão: Impossível - Acerto de Contas Parte 1",3,2023-07-08
"Armadilha em Alto Mar",3,2024-07-26
"Piratas do Caribe: O Baú da Morte",3,2006-07-06
"Pisque Duas Vezes",3,2024-08-21
"Macaco vs. Máquina",2,2023-03-24
"Homem-Aranha: De Volta ao Lar",3,2017-07-05
"団鬼六　修道女縄地獄",2,1984-05-25
"Batman",3,2022-03-01
"Vingadores: Era de Ultron",3,2015-04-22
"Harry Potter e o Cálice de Fogo",3,2005-11-16
"Horizon: Uma Saga Americana - Capítulo 1",3,2024-06-26
"O Menino e a Garça",3,2023-07-14
"O Salário do Medo",3,2024-03-28
"Pra Lá de Bagdá 2",3,2024-07-03
"Megamente Vs. O Sindicato da Perdição",2,2024-03-29
"Aquaman 2: O Reino Perdido",3,2023-12-20
"O Senhor dos Anéis: As Duas Torres",4,2002-12-18
"John Wick: Um Novo Dia para Matar",3,2017-02-08
"Breathe",2,2024-04-04
"Todos Menos Você",3,2023-12-21
"Piratas do Caribe: Navegando em Águas Misteriosas",3,2011-05-15
"Beekeeper: Rede de Vingança",3,2024-01-08
"X-Men: Fênix Negra",2,2019-06-05
"Crepúsculo",3,2008-11-20
"Piratas do Caribe: No Fim do Mundo",3,2007-05-19
"Missão Suicida",2,2024-05-02
"Criação dos Deuses I: Reino das Tempestades",3,2023-07-15
"Homem-Aranha: Longe de Casa",3,2019-06-28
"Bad Boys Para Sempre",3,2020-01-15
"A Forja - O Poder da Transformação",2,2024-08-22
"O Predador: A Caçada",3,2022-08-02
"À Espera de um Milagre",4,1999-12-10
"La Familia del Barrio: La Película",3,2024-06-28
"Venom: Tempo de Carnificina",3,2021-09-30
"Gran Turismo: De Jogador a Corredor",3,2023-08-09
"Megatubarão 2",3,2023-08-02
"New Life",3,2024-05-03
"Os Infalíveis",3,2024-06-20
"Me contro Te: Il film - Vacanze in Transilvania",3,2023-10-19
"Invocação do Mal",3,2013-07-18
"Cinquenta Tons de Cinza",2,2015-02-11
"异兽战场",3,2021-12-27
"遊☆戯☆王",3,1999-03-06
"Homem-Aranha: De Volta ao Lar",3,2017-07-05
"Plano em Família",3,2023-12-14
"Sonic: O Filme",3,2020-02-12
"Mad Max: Estrada da Fúria",3,2015-05-13
"Titane",3,2021-07-14
"Babes",2,2024-05-17
"Titanic",3,1997-11-18
"007 Operação Skyfall",3,2012-10-24
"Plano em Família",3,2023-12-14
"Depois do Fim do Mundo",2,2022-03-01
"O Corvo",3,1994-05-11
"Moonlight: Sob a Luz do Luar",3,2016-10-21
"Como Eu Era Antes de Você",3,2016-06-01
"Os Infalíveis",3,2024-06-20
"O Rei Leão",4,1994-06-24
"Harry Potter e as Relíquias da Morte - Parte 2",4,2011-07-12
"Alien vs. Predador 2",2,2007-12-25
"Liga da Justiça: Crise nas Infinitas Terras - Parte Um",3,2024-01-08
"Padre no hay más que uno 4: Campanas de boda",3,2024-07-17
"Adão Negro",3,2022-10-19
"A Freira 2",3,2023-09-06
"Cinquenta Tons de Cinza",2,2015-02-11
"Jogos Vorazes: A Esperança - Parte 1",3,2014-11-19
"Venom: Tempo de Carnificina",3,2021-09-30
"A Lista de Schindler",4,1993-12-15
"O Esquadrão Suicida",3,2021-07-28
"Donzela",3,2024-03-07
"Titane",3,2021-07-14
"A Nova Onda do Imperador",3,2000-12-15
"Babes",2,2024-05-17
"Meu Malvado Favorito",3,2010-07-08
"The OctoGames",2,2022-10-07
"Up: Altas Aventuras",3,2009-05-28
"Liga da Justiça: Crise nas Infinitas Terras - Parte Um",3,2024-01-08
"O Protetor: Capítulo Final",3,2023-08-30
"Donzela",3,2024-03-07
"Goyo",3,2024-06-27
"Assassinato no Expresso do Oriente",3,2017-11-03
"Alien: A Ressurreição",3,1997-11-12
"Danificado",2,2024-04-12
"Garota Infernal",2,2009-09-18
"Invocação do Mal 2",3,2016-06-08
"Cemitério",2,2024-07-05
"X-Men: Dias de um Futuro Esquecido",3,2014-05-15
"Patrulha Canina: Um Filme Superpoderoso",3,2023-09-21
"O Esquadrão Suicida",3,2021-07-28
"Sri Asih",3,2022-11-17
"遊☆戯☆王",3,1999-03-06
"Harry Potter e as Relíquias da Morte - Parte 1",3,2010-11-17
"Top Gunner: Zona de Perigo",2,2022-05-20
"Toy Story: Um Mundo de Aventuras",3,1995-10-30
"异兽战场",3,2021-12-27
"Os Três Mosqueteiros: Milady",3,2023-12-13
"X-Men: Dias de um Futuro Esquecido",3,2014-05-15
"Liga da Justiça: Crise nas Infinitas Terras - Parte Dois",3,2024-04-22
"O Mal Não Existe",3,2023-12-06
"Sua Culpa",1,2024-12-26
"Funny Birds",3,2024-02-21
"SPY x FAMILY CÓDIGO: Branco",3,2023-12-22
"Cinquenta Tons de Liberdade",3,2018-01-17
"O Predador: A Caçada",3,2022-08-02
"Velozes & Furiosos: Hobbs & Shaw",3,2019-08-01
"The OctoGames",2,2022-10-07
"365 Dias Finais",3,2022-08-19
"Nice Girls",2,2024-08-20
"O Lobo de Wall Street",4,2013-12-25
"Cemitério",2,2024-07-05
"A Saga Crepúsculo: Amanhecer - Parte 1",3,2011-11-16
"Homem-Aranha: No Aranhaverso",4,2018-12-06
"Encanto",3,2021-10-13
"Nascido Para Matar",4,1987-06-26
"Thor",3,2011-04-21
"Patrulha Canina: Um Filme Superpoderoso",3,2023-09-21
"As Tartarugas Ninja",2,2014-08-07
"Homem de Ferro 2",3,2010-04-28
"A Saga Crepúsculo: Amanhecer - Parte 2",3,2012-11-13
"名探偵コナン 100万ドルの五稜星（みちしるべ）",3,2024-04-12
"Uncharted: Fora do Mapa",3,2022-02-10
"Indiana Jones e A Relíquia do Destino",3,2023-06-25
"Your Name.",4,2016-08-26
"A Carne",2,1991-05-09
"Shang-Chi e a Lenda dos Dez Anéis",3,2021-09-01
"Trolls 3: Juntos Novamente",3,2023-10-12
"Rebel Moon - Parte 1: A Menina do Fogo",3,2023-12-15
"Below Her Mouth",3,2017-02-10
"Contra o Mundo",3,2024-04-24
"Guerra nas Estrelas",4,1977-05-25
"Prometheus",3,2012-05-30
"Invocação do Mal 2",3,2016-06-08
"Pulp Fiction: Tempo de Violência",4,1994-09-10
"Assassinos da Lua das Flores",3,2023-10-18
"Up: Altas Aventuras",3,2009-05-28
"Um Lugar Silencioso",3,2018-04-03
"Clube da Luta",4,1999-10-15
"Parasita",4,2019-05-30
"A Saga Crepúsculo: Eclipse",3,2010-06-23
"Fale Comigo",3,2023-07-26
"Gran Turismo: De Jogador a Corredor",3,2023-08-09
"Garota do Século 20",4,2022-10-06
"Corações de Ferro",3,2014-10-15
"Danificado",2,2024-04-12
"滿清十大酷刑",2,1994-05-19
